[14/Apr/2025:10:55:09 +0000] - 302 302 - GET http uptimekuma.home "/" [Client 10.20.30.41] [Length 39] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/dashboard" [Client 10.20.30.41] [Length 1163] [Gzip 2.12] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/assets/index-bOVKKa1O.css" [Client 10.20.30.41] [Length 44995] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/assets/index-B_z9mVlf.js" [Client 10.20.30.41] [Length 489902] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yj4ugvf4" [Client 10.20.30.41] [Length 118] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/icon.svg" [Client 10.20.30.41] [Length 617] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 200 200 - POST http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yj4v4wfx&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 2] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yj4v507p&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 153] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:09 +0000] - 400 400 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=websocket&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 45] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
[14/Apr/2025:10:55:09 +0000] - 200 200 - GET http uptimekuma.home "/icon.svg" [Client 10.20.30.41] [Length 617] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:15 +0000] - 200 200 - POST http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yj9cc0c2&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 2] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
