[29/Apr/2025:02:15:21 +0000] - 200 200 - GET http portainer.home "/" [Client 10.20.30.41] [Length 8725] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "-"
[29/Apr/2025:02:15:22 +0000] - 404 404 - GET http portainer.home "/locales/en-US/translation.json" [Client 10.20.30.41] [Length 19] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:22 +0000] - 401 401 - GET http portainer.home "/api/users/me" [Client 10.20.30.41] [Length 77] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:22 +0000] - 200 200 - GET http portainer.home "/api/system/status" [Client 10.20.30.41] [Length 72] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:22 +0000] - 200 200 - GET http portainer.home "/api/settings/public" [Client 10.20.30.41] [Length 442] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:22 +0000] - 200 200 - GET http portainer.home "/api/settings/public" [Client 10.20.30.41] [Length 442] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:22 +0000] - 204 204 - GET http portainer.home "/api/users/admin/check" [Client 10.20.30.41] [Length 0] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - POST http portainer.home "/api/auth" [Client 10.20.30.41] [Length 306] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/users/me" [Client 10.20.30.41] [Length 188] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/endpoints?limit=1&sort=&order=asc&excludeSnapshots=true" [Client 10.20.30.41] [Length 1511] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/users/me" [Client 10.20.30.41] [Length 188] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/users/me" [Client 10.20.30.41] [Length 188] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/settings/public" [Client 10.20.30.41] [Length 442] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/endpoints/agent_versions" [Client 10.20.30.41] [Length 2] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/tags" [Client 10.20.30.41] [Length 2] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/endpoint_groups" [Client 10.20.30.41] [Length 188] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/endpoints?start=1&limit=10&order=asc&search=&provisioned=true&tagsPartialMatch=true&updateInformation=false" [Client 10.20.30.41] [Length 65658] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/settings/public" [Client 10.20.30.41] [Length 442] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/system/info" [Client 10.20.30.41] [Length 58] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/system/nodes" [Client 10.20.30.41] [Length 11] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/users/1" [Client 10.20.30.41] [Length 160] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/settings" [Client 10.20.30.41] [Length 1333] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/system/status" [Client 10.20.30.41] [Length 72] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/7e697c5bab4f819328df.svg" [Client 10.20.30.41] [Length 6460] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
[29/Apr/2025:02:15:29 +0000] - 200 200 - GET http portainer.home "/api/endpoints/3" [Client 10.20.30.41] [Length 65656] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "http://portainer.home/"
