[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/" [Client 10.20.30.41] [Length 764] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://10.20.30.100:81/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/css/main.css?v=2.12.3" [Client 10.20.30.41] [Length 305815] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/js/main.bundle.js?v=2.12.3" [Client 10.20.30.41] [Length 619861] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/assets/source-sans-pro-v14-latin-ext_latin-regular.woff2" [Client 10.20.30.41] [Length 25656] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/css/main.css?v=2.12.3"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/api/" [Client 10.20.30.41] [Length 61] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/images/favicons/favicon.ico" [Client 10.20.30.41] [Length 15086] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 401 401 - GET http npm.home "/api/tokens" [Client 10.20.30.41] [Length 46] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/login" [Client 10.20.30.41] [Length 789] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/js/login.bundle.js?v=2.12.3" [Client 10.20.30.41] [Length 215173] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/login"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/images/logo-text-vertical-grey.png" [Client 10.20.30.41] [Length 14281] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/login"
[14/Apr/2025:11:54:29 +0000] - 200 200 - GET http npm.home "/assets/source-sans-pro-v14-latin-ext_latin-700.woff2" [Client 10.20.30.41] [Length 25348] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://npm.home/css/main.css?v=2.12.3"
